filename,format,generation,serial_hex,valid
Nanya NT8GC64C8HB0NS-DI.thp,TH20,DDR3,0x00000000,yes
PNY Electronics 8GBH2X04H1BB31-16.thp,TH20,DDR3,0x18100000,yes
Patriot Memory 2400 C15 Series.thp,TH41,DDR4,0x74770A76,yes
Patriot Memory 3200 C16 Series (1).thp,TH41,DDR4,0x667402F1,yes
Patriot Memory 3200 C16 Series.thp,TH40,?,,no
Patriot Memory 3600 C17 Series.thp,TH40,?,,no
Patriot Memory 3600 C18 Series.thp,TH41,DDR4,0x6674084B,yes
Patriot Memory 4000 C19 Series.thp,TH40,?,,no
Patriot Memory 4133 C18 Series.thp,TH41,DDR4,0x7477104A,yes
Patriot Memory 4266 C18 Series.thp,TH41,DDR4,0x74770A76,yes
Patriot Memory PSD416G24002.thp,TH40,?,,no
Patriot Memory PSD44G240081.thp,TH40,?,,no
Patriot Memory PSD48G213381.thp,TH40,?,,no
Samsung 99P5471-016.A00LF.thp,TH20,DDR3,0x3A5E1287,yes
Samsung M378A1G43TB1-CTD.thp,TH40,?,,no
Samsung M378A1K43CB2-CTD (1).thp,TH40,?,,no
Samsung M378A1K43CB2-CTD.thp,TH40,?,,no
Samsung M378A1K43DB2-CVF.thp,TH40,?,,no
Samsung M378A1K43EB2-CVF.thp,TH40,?,,no
Samsung M393B1K70PH0-YK0.thp,TH20,DDR3,0x143BDC43,yes
Team Group TEAMGROUP-UD4-3000 (1).thp,TH40,?,,no
Team Group TEAMGROUP-UD4-3000 (2).thp,TH41,DDR4,0x7573AA78,yes
Team Group TEAMGROUP-UD4-3000.thp,TH41,DDR4,0x757342E9,yes
Team Group TEAMGROUP-UD4-3200.thp,TH40,?,,no
Team Group TEAMGROUP-UD4-3600.thp,TH41,DDR4,0x75739623,yes
Unifosa Corporation HU564403EP0200.thp,TH20,DDR3,0x00000000,yes
Unknown (JEDEC ID 00FFh) Undefined (1).thp,TH20,?,,no
Unknown (JEDEC ID 00FFh) Undefined.thp,TH20,?,,no
Unknown (JEDEC ID 150Dh) atermiter.thp,TH40,?,,no
Unknown (JEDEC ID 7FFFh) 3600 C20 Series.thp,TH41,DDR3,0x21009604,yes
Wilk Elektronik GR2666D464L19S-8G.thp,TH40,?,,no
Wilk Elektronik IRP3600D4V64L17-16G.thp,TH40,?,,no
A-DATA DDR4 300.thp,TH40,?,,no
A-DATA DDR4 3000 (1).thp,TH40,?,,no
A-DATA DDR4 3000 (2).thp,TH40,?,,no
A-DATA DDR4 3000 2OZ.thp,TH40,?,,no
A-DATA DDR4 3000.thp,TH40,?,,no
A-DATA DDR4 3200 (1).thp,TH40,?,,no
A-DATA DDR4 3200 (2).thp,TH40,?,,no
A-DATA DDR4 3200.thp,TH41,DDR4,0x586E0A76,yes
A-DATA DDR4 3600 2OZ.thp,TH41,DDR3,0x07009604,yes
A-DATA Undefined (1).thp,TH40,?,,no
A-DATA Undefined.thp,TH41,DDR4,0xF0F70876,yes
AMD R748G2606U2S.thp,TH40,?,,no
AMD R7S48G2400U2S.thp,TH40,?,,no
AMD R9S48G3206U2S.thp,TH40,?,,no
Chun Well Holding Ltd. CL16-20-20 D4-3200.thp,TH41,DDR4,0x74770A76,yes
Corsair CMD32GX4M4C3200C14C.thp,TH41,DDR4,0x74770A76,yes
Corsair CMK16GX4M2B3000C15 (1).thp,TH40,?,,no
Corsair CMK16GX4M2D3600C16.thp,TH41,DDR4,0x74770A76,yes
Corsair CMK64GX4M2E3200C16.thp,TH41,DDR4,0x74770A76,yes
Corsair CMK8GX4M1A2666C16.thp,TH41,DDR4,0x74770A76,yes
Corsair CMK8GX4M1D3000C16.thp,TH40,?,,no
Corsair CMK8GX4M2C3000C16.thp,TH41,DDR4,0x74770A76,yes
Corsair CMR16GX4M2C3600C18.thp,TH41,DDR4,0x74770A76,yes
Corsair CMW16GX4M2D3600C16.thp,TH41,DDR4,0x74770A76,yes
Corsair CMWX16GC3200C16W4.thp,TH40,?,,no
Corsair CMY32GX3M4A2400C11.thp,TH20,DDR3,0x09359803,yes
Corsair CMZ16GX3M4A1600C9.thp,TH20,DDR3,0x00000000,yes
Crucial 6G32C16U4BL.M16FE.thp,TH40,?,,no
Crucial BL16G30C15U4W.M16FE1.thp,TH40,?,,no
Crucial BL16G32C16U4BL.M16FE (1).thp,TH40,?,,no
Crucial BL16G32C16U4BL.M16FE (2).thp,TH41,DDR4,0x97D1616E,yes
Crucial BL16G32C16U4BL.M16FE.thp,TH40,?,,no
Crucial BL16G32C16U4RL.M16FE.thp,TH40,?,,no
Crucial BL16G36C16U4B.M8FB1.thp,TH41,DDR4,0x97D561AA,yes
