filename,format,generation,serial_hex,valid
G.Skill F4-3200C16-16GFX.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-16GIS (3).thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3200C16-16GIS (4).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-16GIS.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-16GTZ.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-16GTZN (1).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-16GTZN.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-16GTZR (1).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-16GTZR (2).thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3200C16-16GTZR.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-16GVK (1).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-16GVK.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-8GFX.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-8GIS (1).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-8GIS (2).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-8GTRG (1).thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3200C16-8GTZN.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-8GTZR.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-8GTZSK.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-8GVGB.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-8GVKB (5).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-8GVKB.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C22-16GRS (1).thp,TH43,DDR4,0x09131090,yes
G.Skill F4-3200C22-16GRS.thp,TH43,DDR4,0x05055070,yes
G.Skill F4-3600C14-16GTZN.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C14-16GTZNA.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C14-16GTZR.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C14-16GTZRA.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C14-16GVK.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C14-16GVKA.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C14-8GTZNA.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C14-8GVKA.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C15-8GTZ.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C16 16GTRSC.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C16-16GTRSC (1).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C16-16GTRSC.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C16-16GTZN.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C16-16GTZNC (1).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C16-16GTZNC.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C16-16GTZR.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C16-16GVKC.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C16-8GTZN.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C16-8GTZNC (2).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C16-8GTZNC.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C17-16GTZ.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C17-16GTZR (3).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C17-16GTZR (4).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C17-16GTZR.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C17-16GTZSW (1).thp,TH41,DDR4,0x667718F0,yes
G.Skill F4-3600C17-16GTZSW.thp,TH41,DDR4,0x667718FE,yes
G.Skill F4-3600C17-8GTZ.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C17-8GTZR.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C18-16GTZN.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C18-16GTZR.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C18-16GVK (1).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C18-16GVK (4).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C18-16GVK (5).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C18-16GVK (8).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C18-32GVK.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C18-8GTZN.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C18-8GTZRX.thp,TH43,DDR4,0x00000000,yes
